,Close,Open,High,Low,Volume
2009-09-09,0.0008149090909090909,0.0008149090909090909,0.0008149090909090909,0.0008149090909090909,0
2009-09-10,0.0008181818181818182,0.0008181818181818182,0.0008181818181818182,0.0008181818181818182,0
2009-09-11,0.0008214545454545454,0.0008214545454545454,0.0008214545454545454,0.0008214545454545454,0
2009-09-12,0.0008247272727272727,0.0008247272727272727,0.0008247272727272727,0.0008247272727272727,0
2009-09-13,0.000828,0.000828,0.000828,0.000828,0
2009-09-14,0.0008312727272727273,0.0008312727272727273,0.0008312727272727273,0.0008312727272727273,0
2009-09-15,0.0008345454545454545,0.0008345454545454545,0.0008345454545454545,0.0008345454545454545,0
2009-09-16,0.0008378181818181818,0.0008378181818181818,0.0008378181818181818,0.0008378181818181818,0
2009-09-17,0.0008410909090909091,0.0008410909090909091,0.0008410909090909091,0.0008410909090909091,0
2009-09-18,0.0008443636363636363,0.0008443636363636363,0.0008443636363636363,0.0008443636363636363,0
2009-09-19,0.0008476363636363636,0.0008476363636363636,0.0008476363636363636,0.0008476363636363636,0
2009-09-20,0.0008509090909090909,0.0008509090909090909,0.0008509090909090909,0.0008509090909090909,0
2009-09-21,0.0008541818181818182,0.0008541818181818182,0.0008541818181818182,0.0008541818181818182,0
2009-09-22,0.0008574545454545454,0.0008574545454545454,0.0008574545454545454,0.0008574545454545454,0
2009-09-23,0.0008607272727272727,0.0008607272727272727,0.0008607272727272727,0.0008607272727272727,0
2009-09-24,0.000864,0.000864,0.000864,0.000864,0
2009-09-25,0.0008672727272727272,0.0008672727272727272,0.0008672727272727272,0.0008672727272727272,0
2009-09-26,0.0008705454545454545,0.0008705454545454545,0.0008705454545454545,0.0008705454545454545,0
2009-09-27,0.0008738181818181818,0.0008738181818181818,0.0008738181818181818,0.0008738181818181818,0
2009-09-28,0.0008770909090909091,0.0008770909090909091,0.0008770909090909091,0.0008770909090909091,0
2009-09-29,0.0008803636363636363,0.0008803636363636363,0.0008803636363636363,0.0008803636363636363,0
2009-09-30,0.0008836363636363636,0.0008836363636363636,0.0008836363636363636,0.0008836363636363636,0
2009-10-01,0.0008869090909090909,0.0008869090909090909,0.0008869090909090909,0.0008869090909090909,0
2009-10-02,0.0008901818181818182,0.0008901818181818182,0.0008901818181818182,0.0008901818181818182,0
2009-10-03,0.0008934545454545454,0.0008934545454545454,0.0008934545454545454,0.0008934545454545454,0
2009-10-04,0.0008967272727272727,0.0008967272727272727,0.0008967272727272727,0.0008967272727272727,0
2009-10-05,0.0009,0.0009,0.0009,0.0009,0
2009-10-06,0.001072280701754386,0.001072280701754386,0.001072280701754386,0.001072280701754386,0
2009-10-07,0.001244561403508772,0.001244561403508772,0.001244561403508772,0.001244561403508772,0
2009-10-08,0.001416842105263158,0.001416842105263158,0.001416842105263158,0.001416842105263158,0
2009-10-09,0.001589122807017544,0.001589122807017544,0.001589122807017544,0.001589122807017544,0
2009-10-10,0.00176140350877193,0.00176140350877193,0.00176140350877193,0.00176140350877193,0
2009-10-11,0.001933684210526316,0.001933684210526316,0.001933684210526316,0.001933684210526316,0
2009-10-12,0.0021059649122807016,0.0021059649122807016,0.0021059649122807016,0.0021059649122807016,0
2009-10-13,0.002278245614035088,0.002278245614035088,0.002278245614035088,0.002278245614035088,0
2009-10-14,0.002450526315789474,0.002450526315789474,0.002450526315789474,0.002450526315789474,0
2009-10-15,0.00262280701754386,0.00262280701754386,0.00262280701754386,0.00262280701754386,0
